time,uy
0.0,-0.0025873642268698102
0.01,-0.007757968976848106
0.02,-0.015505005430920591
0.03,-0.025813941233298995
0.04,-0.03866237891032221
0.05,-0.0540219484604679
0.06,-0.0718628268944826
0.07,-0.09215925966632088
0.08,-0.11489325679841483
0.09,-0.14005357063555082
0.1,-0.16763245392016926
0.11,-0.19762435128672426
0.12,-0.2300275973406817
0.13,-0.26484756463243153
0.14,-0.3021002557308841
0.15,-0.34181402596320826
0.16,-0.38402846949988234
0.17,-0.42878954999127983
0.18,-0.4761414938864946
0.19,-0.5261164391016514
0.2,-0.5787265504037238
0.21,-0.6339649056803076
0.22,-0.691819908450889
0.23,-0.7523056042934493
0.24,-0.8154955084091702
0.25,-0.881554737567177
0.26,-0.9507331800999574
0.27,-1.0233147781654595
0.28,-1.099551841407197
0.29,-1.1795909907192217
0.3,-1.2634200300873988
0.31,-1.3508291622934419
0.32,-1.4414306243832795
0.33,-1.5347167865285731
0.34,-1.6300813592049315
0.35000000000000003,-1.7268600456511314
0.36,-1.8243451297722864
0.37,-1.921804116154505
0.38,-2.0185048094733054
0.39,-2.1137317036228844
0.4,-2.2067935392614193
0.41000000000000003,-2.2970325438067745
0.42,-2.383835011573166
0.43,-2.46665237849023
0.44,-2.5450308816244456
0.45,-2.6186420107178767
0.46,-2.687304870649135
0.47000000000000003,-2.7509924816768154
0.48,-2.8098210626839792
0.49,-2.864025567270383
0.5,-2.9139278067549603
0.51,-2.9599028201645563
0.52,-3.0023465262791524
0.53,-3.04164709320948
0.54,-3.0781610640114465
0.55,-3.1121965260179283
0.56,-3.1440037716718243
0.5700000000000001,-3.173774521159716
0.58,-3.2016485652905797
0.59,-3.2277258345224973
0.6,-3.2520806852026385
0.61,-3.274775725997014
0.62,-3.2958731909336425
0.63,-3.315442771981158
0.64,-3.3335655876307877
0.65,-3.3503345920244403
0.66,-3.3658522887195925
0.67,-3.3802268117746723
0.68,-3.3935671816164885
0.6900000000000001,-3.4059786764062085
0.7000000000000001,-3.417559007768022
0.71,-3.428395416910285
0.72,-3.4385630536515093
0.73,-3.4481242746604615
0.74,-3.457128745059269
0.75,-3.465614442976701
0.76,-3.47360953125149
0.77,-3.4811346851345086
0.78,-3.4882053617736286
0.79,-3.4948338224405755
0.8,-3.5010307612032165
0.81,-3.5068064024980106
0.8200000000000001,-3.512171023843809
0.8300000000000001,-3.5171349643419734
0.84,-3.5217081580736544
0.85,-3.525899544650078
0.86,-3.5297163922384684
0.87,-3.5331635744857293
0.88,-3.5362430393385624
0.89,-3.538953613298605
0.9,-3.541291099286567
0.91,-3.54324861601914
0.92,-3.544817056346847
0.93,-3.545985538396243
0.9400000000000001,-3.5467421371174437
0.9500000000000001,-3.5470745457531527
0.96,-3.546970652941794
0.97,-3.546418955132846
0.98,-3.545408884371898
0.99,-3.543931034259011
