time,uy
0.0,2.897952069954155e-18
0.01,0.00048308762781638416
0.02,0.0017730697637106598
0.03,0.004033778361610484
0.04,0.0073244062762342415
0.05,0.011652588932358775
0.06,0.01700740607305926
0.07,0.023372884456805413
0.08,0.030730231762895296
0.09,0.03905670181270471
0.1,0.04832528006500085
0.11,0.058061020871795904
0.12,0.06795391504212071
0.13,0.07784746600377235
0.14,0.08767894059659607
0.15,0.09742955449713833
0.16,0.10709661366829841
0.17,0.11668302260509049
0.18,0.1261955913328943
0.19,0.13564560756446956
0.2,0.14504863975969257
0.21,0.15442314502687984
0.22,0.16378857314095516
0.23,0.17316369512562385
0.24,0.18256549675710051
0.25,0.19200861617940015
0.26,0.20150513378956242
0.27,0.2110645182517578
0.28,0.22069360931338494
0.29,0.23039660273675125
0.3,0.24017505766151745
0.31,0.25002796536016786
0.32,0.2599519106560256
0.33,0.2699413375449649
0.34,0.2799889101284988
0.35000000000000003,0.29008594488250716
0.36,0.3002228821586087
0.37,0.3103897627452553
0.38,0.3205766775977595
0.39,0.3307741639085773
0.4,0.3409735273655675
0.41000000000000003,0.35116707790133067
0.42,0.36134827381401596
0.43,0.3715117762670793
0.44,0.38165342235256194
0.45,0.3917701297367653
0.46,0.40185974915434924
0.47000000000000003,0.4119208826020757
0.48,0.4219526850939824
0.49,0.4319546664939047
0.5,0.441926507543894
0.51,0.45186790110364533
0.52,0.4617784261520625
0.53,0.471657458592465
0.54,0.4815041196119485
0.55,0.49131725947636684
0.56,0.5010954723350459
0.5700000000000001,0.5108371359427314
0.58,0.5205404692051419
0.59,0.5302036000974434
0.6,0.5398246367333743
0.61,0.5494017350899043
0.62,0.5589331580122829
0.63,0.5684173215205591
0.64,0.5778528259920467
0.65,0.5872384713904466
0.66,0.5965732572480688
0.67,0.6058563694951591
0.68,0.6150871574006473
0.6900000000000001,0.6242651047920514
0.7000000000000001,0.6333898003275826
0.71,0.6424609118851456
0.72,0.6514781701072986
0.73,0.6604413658025866
0.74,0.6693503652607709
0.75,0.6782051466037656
0.76,0.6870058590800453
0.77,0.6957529057382253
0.78,0.7044470482167414
0.79,0.7130895305096896
0.8,0.7216822165862942
0.81,0.730227734753675
0.8200000000000001,0.7387296197892522
0.8300000000000001,0.7471924422849491
0.84,0.7556219135104875
0.85,0.7640249535884339
0.86,0.7724097110325054
0.87,0.7807855228486108
0.88,0.7891628064941074
0.89,0.797552878021126
0.9,0.8059676945976991
0.91,0.8144195241217366
0.92,0.8229205495500986
0.93,0.831482420519476
0.9400000000000001,0.8401157694490574
0.9500000000000001,0.8488297131791926
0.96,0.8576313639262216
0.97,0.8665253745937356
0.98,0.8755135430517972
0.99,0.8845944977964726
1.0,0.893763483515709
1.01,0.9030122597666987
1.02,0.9123291196183119
1.03,0.9216990282455744
1.04,0.9311038746522395
1.05,0.9405228235029338
1.06,0.9499327489550319
1.07,0.9593087287528911
1.08,0.9686245748839205
1.09,0.9778533768268349
1.1,0.9869680347177414
1.11,0.9959417623610297
1.12,1.004748543574883
1.1300000000000001,1.013363529502498
1.1400000000000001,1.0217633688630188
1.1500000000000001,1.0299264673270483
