time,uy
0.0,2.957528851233458e-17
0.01,0.0004928098876538434
0.02,0.0018344463937875484
0.03,0.0042191022400410085
0.04,0.007722992421386933
0.05,0.012360213581491508
0.06,0.018120353378447404
0.07,0.024984507922705387
0.08,0.03292818947581957
0.09,0.041920228772171615
0.1,0.05192273988070027
0.11,0.06242532164488846
0.12,0.0730739677221237
0.13,0.0836845456883037
0.14,0.09418762786433135
0.15,0.10456750777817479
0.16,0.1148245845732465
0.17,0.12496110614808636
0.18,0.13497984904576574
0.19,0.14488646046479076
0.2,0.15469080794484028
0.21,0.16440647918433002
0.22,0.1740493343572817
0.23,0.18363616338683647
0.24,0.1931839438140585
0.25,0.20270963372450934
0.26,0.21223016933589242
0.27,0.2217623581091776
0.28,0.2313225218241241
0.29,0.24092591049759812
0.3,0.2505860037054294
0.31,0.2603138331762761
0.32,0.27011742868051225
0.33,0.2800014434208239
0.34,0.2899669782656981
0.35000000000000003,0.3000116031108563
0.36,0.3101295643868849
0.37,0.32031216281281794
0.38,0.3305482794055187
0.39,0.34082501883760824
0.4,0.35112842905139885
0.41000000000000003,0.36144424759562455
0.42,0.371758621239452
0.43,0.3820587475648103
0.44,0.39233339542947265
0.45,0.4025732741178875
0.46,0.4127712365650082
0.47000000000000003,0.4229223179495422
0.48,0.4330236251610163
0.49,0.4430741036561188
0.5,0.4530742152162138
0.51,0.46302556293916103
0.52,0.47293049882650373
0.53,0.4827917453208794
0.54,0.4926120560663364
0.55,0.5023939339991299
0.56,0.5121394175252367
0.5700000000000001,0.5218499387162141
0.58,0.5315262516452971
0.59,0.5411684244549406
0.6,0.5507758855671976
0.61,0.5603475125479944
0.62,0.5698817513539758
0.63,0.5793767538216579
0.64,0.5888305220911989
0.65,0.5982410499942475
0.66,0.6076064531063028
0.67,0.6169250810269682
0.68,0.6261956073914429
0.6900000000000001,0.6354170950410594
0.7000000000000001,0.6445890356148732
0.71,0.653711364506905
0.72,0.6627844536135314
0.73,0.6718090855296037
0.74,0.6807864138039184
0.75,0.6897179145052333
0.76,0.6986053346572373
0.77,0.7074506430621452
0.78,0.7162559886467028
0.79,0.7250236707439454
0.8,0.7337561246976229
0.81,0.7424559248895504
0.8200000000000001,0.7511258058063984
0.8300000000000001,0.759768700160527
0.84,0.7683877914508407
0.85,0.7769865767934105
0.86,0.7855689344683848
0.87,0.7941391895149199
0.88,0.802702169943087
0.89,0.8112632457869144
0.9,0.8198283433399032
0.91,0.8284039275128945
0.92,0.8369969463280867
0.93,0.845614733081616
0.9400000000000001,0.8542648636169663
0.9500000000000001,0.862954968378585
0.96,0.8716925013675219
0.97,0.8804844706909172
0.98,0.8893371379632992
0.99,0.8982556962469144
1.0,0.9072439383691833
1.01,0.916303929182381
1.02,0.9254356964911867
1.03,0.9346369558377052
1.04,0.9439028839954672
1.05,0.9532259548168776
1.06,0.9625958489884029
1.07,0.9719994463248844
1.08,0.9814209056008788
1.09,0.9908418327666285
1.1,1.0002415339853044
1.11,1.0095973455564873
1.12,1.0188850287753066
1.1300000000000001,1.0280792144189217
1.1400000000000001,1.0371538791058075
1.1500000000000001,1.0460828344156452
1.16,1.0548402094693472
1.17,1.0634009086271663
1.18,1.0717410279480752
1.19,1.0798382168671041
1.2,1.0876719749393056
1.21,1.09522387719931
1.22,1.1024777254329565
1.23,1.1094196262231046
1.24,1.1160379998323298
1.25,1.1223235266882279
1.26,1.1282690403570859
1.27,1.1338693773827062
1.28,1.1391211952136746
1.29,1.1440227696527077
1.3,1.1485737828654439
1.31,1.1527751120348526
1.32,1.1566286273185753
1.33,1.1601370059653435
1.34,1.163303567406403
1.35,1.1661321320139428
1.36,1.1686269041770432
1.37,1.1707923785474816
1.3800000000000001,1.172633266890197
1.3900000000000001,1.1741544420329415
1.4000000000000001,1.1753608949900052
1.41,1.1762577014202904
1.42,1.1768499940988597
1.43,1.1771429389164687
1.44,1.1771417129284667
1.45,1.1768514839997881
1.46,1.1762773924959518
1.47,1.1754245361399567
1.48,1.1742979595218366
1.49,1.1729026497877688
1.5,1.17124353976985
1.51,1.1693255193038994
1.52,1.1671534548045408
1.53,1.1647322164204401
1.54,1.1620667113732785
1.55,1.159161921475225
1.56,1.1560229423844244
1.57,1.1526550219344607
1.58,1.1490635948739043
1.59,1.1452543115639022
1.6,1.1412330585735884
1.61,1.1370059696394572
1.62,1.1325794260628785
1.6300000000000001,1.1279600462555583
1.6400000000000001,1.1231546647558217
1.6500000000000001,1.1181703015868847
1.6600000000000001,1.1130141232799282
1.67,1.1076933972193561
1.68,1.10221544117595
1.69,1.096587569976648
1.7,1.0908170412267322
1.71,1.0849110018668542
1.72,1.0788764371333073
1.73,1.0727201232170267
1.74,1.0664485846071654
1.75,1.0600680567798288
1.76,1.0535844545707305
1.77,1.0470033462684485
1.78,1.0403299331957823
1.79,1.0335690343203705
1.8,1.026725075258959
1.81,1.019802080916218
1.82,1.0128036709298358
1.83,1.0057330570773224
1.84,0.998593041833164
1.85,0.9913860173424972
1.86,0.9841139641929151
1.87,0.976778449511917
1.8800000000000001,0.9693806240857774
1.8900000000000001,0.9619212183778305
1.9000000000000001,0.9544005375118759
1.9100000000000001,0.9468184554714294
1.92,0.939174408940172
1.93,0.9314673913662708
1.94,0.9236959479672538
1.95,0.9158581724979196
1.96,0.907951706677645
1.97,0.8999737432129716
1.98,0.8919210333552838
1.99,0.8837898999017606
2.0,0.8755762564816836
2.0100000000000002,0.867275633871734
2.02,0.8588832139560585
2.0300000000000002,0.8503938717932661
2.04,0.8418022260772936
2.05,0.8331026980867885
2.06,0.824289579013073
2.07,0.8153571053447638
2.08,0.8062995417726437
2.09,0.7971112708662849
2.1,0.7877868885689494
2.11,0.7783213043640482
2.12,0.7687098447893139
2.13,0.7589483588180038
2.14,0.7490333234937847
2.15,0.7389619481010435
2.16,0.7287322750784347
2.17,0.7183432758433388
2.18,0.7077949396909151
2.19,0.6970883539654321
2.2,0.6862257737748042
2.21,0.6752106796323663
2.22,0.6640478215627604
2.23,0.6527432484004739
2.24,0.6413043212382221
2.25,0.6297397102452139
2.2600000000000002,0.6180593743684688
2.27,0.6062745237487231
2.2800000000000002,0.5943975650198307
2.29,0.5824420300094874
2.3000000000000003,0.5704224887110299
2.31,0.5583544477414425
2.32,0.5462542358293201
2.33,0.5341388781777318
2.34,0.522025961810161
2.35,0.5099334942229622
2.36,0.49787975782618604
2.37,0.4858831627489945
2.38,0.47396210061117683
2.39,0.4621348018160982
2.4,0.45041919880323794
2.41,0.4388327975138304
2.42,0.4273925590774686
2.43,0.4161147934300328
2.44,0.405015066235364
2.45,0.3941081201177537
2.46,0.3834078108335491
2.47,0.3729270586320849
2.48,0.3626778146922835
2.49,0.3526710421837923
2.5,0.3429167112007438
2.5100000000000002,0.33342380656003495
2.52,0.32420034724973334
2.5300000000000002,0.31525341615940217
2.54,0.3065891986227816
2.5500000000000003,0.2982130282520032
2.56,0.29012943853701545
2.57,0.28234221871834686
2.58,0.2748544725089234
2.59,0.26766867833412283
2.6,0.26078674987132544
2.61,0.2542100957940643
2.62,0.24793967775537085
2.63,0.2419760657749145
2.64,0.2363194903209819
2.65,0.2309698904983079
2.66,0.22592695786440734
2.67,0.22119017549949957
2.68,0.2167588520483402
2.69,0.21263215053689982
