time,uy
0.0,0.0
0.01,2.2947188661710086e-22
0.02,9.190711935019945e-22
0.03,2.0671999925943614e-21
0.04,3.668145615122398e-21
0.05,5.7153449230035755e-21
0.06,8.201006147290273e-21
0.07,1.1116816388424913e-20
0.08,1.4455201239468252e-20
0.09,1.8210979865256113e-20
0.1,2.2383365150054804e-20
0.11,2.6978150494297633e-20
0.12,3.20097549487046e-20
0.13,3.7502582700272956e-20
0.14,4.3490977799992196e-20
0.15,5.001710895166175e-20
0.16,5.712659084133299e-20
0.17,6.486248746975624e-20
0.18,7.325912008324372e-20
0.19,8.233728143498668e-20
0.2,9.210189954939292e-20
0.21,1.0254228543132818e-19
0.22,1.1363436582576113e-19
0.23,1.2534400274775698e-19
0.24,1.3763057784380916e-19
0.25,1.5045027882688242e-19
0.26,1.6375880204713868e-19
0.27,1.775133963818999e-19
0.28,1.9167430139069362e-19
0.29,2.0620569191328245e-19
0.3,2.2107625517206774e-19
0.31,2.3625951514437137e-19
0.32,2.5173399652765663e-19
0.33,2.6748329541848973e-19
0.34,2.834961001050091e-19
0.35000000000000003,2.9976618469250353e-19
0.36,3.162923806563457e-19
0.37,3.3307851611221165e-19
0.38,3.5013329866675326e-19
0.39,3.674701043849956e-19
0.4,3.851066223755603e-19
0.41000000000000003,4.0306429220945404e-19
0.42,4.2136746139338535e-19
0.43,4.400421853325499e-19
0.44,4.591145970766598e-19
0.45,4.786087943405353e-19
0.46,4.98544232783523e-19
0.47000000000000003,5.189326815143602e-19
0.48,5.397748886334173e-19
0.49,5.610572124520628e-19
0.5,5.827485784414858e-19
0.51,6.047981941488774e-19
0.52,6.271344623022527e-19
0.53,6.496654520842734e-19
0.54,6.722811164437483e-19
0.55,6.948572036601267e-19
0.56,7.172605536936777e-19
0.5700000000000001,7.3935525464304e-19
0.58,7.610090130853036e-19
0.59,7.820990888463895e-19
0.6,8.025172515116038e-19
0.61,8.221733976371767e-19
0.62,8.409976768219844e-19
0.63,8.589411675441843e-19
0.64,8.759752899867967e-19
0.65,8.920902305309308e-19
0.66,9.07292683795403e-19
0.67,9.216032051204492e-19
0.68,9.350534248891612e-19
0.6900000000000001,9.476833208635566e-19
0.7000000000000001,9.595386872996662e-19
0.71,9.70668887499357e-19
0.72,9.811249335340047e-19
0.73,9.909579042965774e-19
0.74,1.00021769023227e-18
0.75,1.0089520385886171e-18
0.76,1.0172058650280336e-18
0.77,1.0250207942228215e-18
0.78,1.0324348921037498e-18
0.79,1.0394825545558925e-18
0.8,1.046194520644066e-18
0.81,1.0525979822573913e-18
0.8200000000000001,1.0587167659531983e-18
0.8300000000000001,1.0645715664825158e-18
0.84,1.0701802148439208e-18
0.85,1.07555796667727e-18
0.86,1.0807177993711657e-18
0.87,1.0856707084512369e-18
0.88,1.0904259956921115e-18
0.89,1.094991543011215e-18
0.9,1.0993740676094154e-18
0.91,1.1035793550644046e-18
0.92,1.1076124681868955e-18
0.93,1.1114779304344782e-18
0.9400000000000001,1.1151798835500526e-18
0.9500000000000001,1.1187222198502073e-18
0.96,1.122108690230016e-18
0.97,1.1253429894692852e-18
0.98,1.1284288208192815e-18
0.99,1.1313699421194604e-18
