time,m,p+PV+PC
0.0,0.0,0.10201999591920019
0.01,1.806083205380591e-05,2.2925334032728584
0.02,7.236313617857102e-05,9.118857105052786
0.03,0.00016336046176001345,20.48480559051176
0.04,0.0002919378295731423,36.49572672683996
0.05,0.00045926596530523135,57.246518805775
0.06,0.0006663145436075373,82.78061786416357
0.07,0.0009129594705789714,112.9606473726498
0.08,0.0011966361240077607,147.2567961307741
0.09,0.0015105411314748855,184.52567361301206
0.1,0.0018415082845443496,222.78110831698086
0.11,0.0021680540920418438,259.04374144376186
0.12,0.0024597607380875274,289.5424530454889
0.13,0.00267932040374189,310.24384162924133
0.14,0.0027876798449048613,317.613643050073
0.15,0.0027507212050449856,309.25659177880203
0.16,0.0025450625167234685,284.1543497374505
0.17,0.002162032270558317,242.53167461949866
0.18,0.0016108917705456548,185.62806970263765
0.19,0.0009227355392285972,115.65394181937872
0.2,0.00015493060683066296,36.02303807091196
0.21,-0.000606664100594149,-48.33401196808425
0.22,-0.001252571871715803,-131.02239740699864
0.23,-0.0016652026989968137,-204.9789316120911
0.24,-0.0017418158112450068,-263.8635444165563
0.25,-0.001414249402798264,-303.34825997907825
0.26,-0.0006552323962815745,-321.635756088398
0.27,0.0005293772736600521,-319.11917559951377
0.28,0.002113974021728856,-297.612749701037
0.29,0.004062687316821969,-259.66269056079284
0.3,0.006331248127829235,-208.1990429768338
0.31,0.008864289843723795,-146.47622538482292
0.32,0.011593543438670093,-78.09602648079056
0.33,0.014439538205359377,-6.980677434724188
0.34,0.017315387533243545,62.68674655268765
0.35000000000000003,0.020129990155982505,126.48424913197725
0.36,0.022789328937388543,179.70741573558826
0.37,0.025196209865328636,217.28152846295654
0.38,0.027249615141317855,233.66647223082998
0.39,0.02884526992575928,222.79652384464916
0.4,0.029880163222663663,178.13224959629733
0.41000000000000003,0.030267375155868703,93.03084401044056
0.42,0.029976153530042182,-37.98585957719356
0.43,0.02911498360454784,-215.8873484432082
0.44,0.027985826212515025,-432.82590635419746
0.45,0.026920937106253137,-674.3630064313029
0.46,0.026120066528768665,-924.0533869263744
0.47000000000000003,0.025770170852557842,-1160.480874972556
0.48,0.026093481666655396,-1359.7434290323652
0.49,0.02720470074680771,-1506.2646270564837
0.5,0.029034008960003094,-1598.0953651159627
0.51,0.03138868959143867,-1643.2500022786946
0.52,0.03404931204586621,-1653.4888570682851
0.53,0.03682897214203669,-1640.1104738943357
0.54,0.039591527689955774,-1612.257193109607
0.55,0.04224770652255688,-1576.705874476687
0.56,0.04474423856351281,-1538.2309717892986
0.5700000000000001,0.04705318774432076,-1500.0713438470402
0.58,0.049163645249227915,-1464.3337687785306
0.59,0.05107582627468107,-1432.3024912145618
0.6,0.05279701784457977,-1404.6684813751444
0.61,0.05433881550489555,-1381.699181057789
0.62,0.05571522795959024,-1363.3656268377536
0.63,0.05694136761142025,-1349.438643595002
0.64,0.05803254550695724,-1339.5618606027808
0.65,0.059003653836489194,-1333.3067833085377
0.66,0.05986875854857256,-1330.2136506216327
0.67,0.060640848270482134,-1329.8209184673294
0.68,0.0613317001129576,-1331.6856592645906
0.6900000000000001,0.06195183212195212,-1335.3967898695555
0.7000000000000001,0.06251051846345423,-1340.5827489997894
0.71,0.06301584817755684,-1346.914995824726
0.72,0.06347481218348772,-1354.1084757474189
0.73,0.0638934064796835,-1361.9199916769612
0.74,0.0642767422998835,-1370.1452294243202
0.75,0.0646291564076425,-1378.6150163628383
0.76,0.06495431675425763,-1387.1912452465479
0.77,0.06525532040063295,-1395.7627711284574
0.78,0.06553478193148898,-1404.2414884428335
0.79,0.06579491160088957,-1412.5587160961866
0.8,0.06603758318066762,-1420.6619585701549
0.81,0.06626439198257994,-1428.5120677738432
0.8200000000000001,0.06647670383652687,-1436.080800722076
0.8300000000000001,0.06667569597418782,-1443.3487491729284
0.84,0.06686239082842316,-1450.303606528205
0.85,0.0670376837462658,-1456.938732341169
0.86,0.06720236555337117,-1463.2519738637172
0.87,0.06735714082046418,-1469.2447057660165
0.88,0.06750264258230039,-1474.9210523993024
0.89,0.06763944415714387,-1480.2872609768935
0.9,0.06776806861640612,-1485.3511982841453
0.91,0.06788899636383092,-1490.1219476571896
0.92,0.06800267120343104,-1494.6094867868132
0.93,0.0681095052059203,-1498.82443030405
0.9400000000000001,0.06820988262438772,-1502.777824052925
0.9500000000000001,0.06830416306065425,-1506.4809804568013
0.96,0.06839268404309096,-1509.9453464730675
0.97,0.06847576314350795,-1513.1823973495468
0.98,0.06855369973390929,-1516.2035507961516
0.99,0.06862677646238144,-1519.020097316492
